__v,_id,reportedPercent,truePercent,visType
0,604a2b382694b50a645e9ab8,35,0.46415888336127786,Type5
0,604a2b412694b50a645e9ab9,30,0.26101572156825364,Type4
0,604a2b452694b50a645e9aba,70,0.6812920690579612,Type5
0,604a2b4e2694b50a645e9abb,46,0.3831186849557287,Type1
0,604a2b522694b50a645e9abc,39,0.26101572156825364,Type1
0,604a2b592694b50a645e9abd,83,0.8254041852680183,Type3
0,604a2b5f2694b50a645e9abe,33,0.26101572156825364,Type3
0,604a2b642694b50a645e9abf,71,0.46415888336127786,Type4
0,604a2b692694b50a645e9ac0,20,0.26101572156825364,Type5
0,604a2b6f2694b50a645e9ac1,33,0.26101572156825364,Type2
0,604a2b762694b50a645e9ac2,91,0.8254041852680185,Type2
0,604a2b7b2694b50a645e9ac3,47,0.3831186849557287,Type2
0,604a2b812694b50a645e9ac4,63,0.6812920690579612,Type2
0,604a2b862694b50a645e9ac5,50,0.46415888336127786,Type1
0,604a2b8f2694b50a645e9ac6,82,0.8254041852680184,Type3
0,604a2b952694b50a645e9ac7,40,0.3831186849557287,Type3
0,604a2b9e2694b50a645e9ac8,55,0.46415888336127786,Type3
0,604a2ba22694b50a645e9ac9,81,0.8254041852680183,Type2
0,604a2bab2694b50a645e9aca,68,0.6812920690579612,Type3
0,604a2bb12694b50a645e9acb,46,0.3831186849557287,Type4
0,604a2bba2694b50a645e9acc,70,0.6812920690579612,Type4
0,604a2bc02694b50a645e9acd,67,0.8254041852680183,Type4
0,604a2bc92694b50a645e9ace,55,0.46415888336127786,Type3
0,604a2bcf2694b50a645e9acf,52,0.46415888336127786,Type2
0,604a2bd52694b50a645e9ad0,85,0.8254041852680184,Type5
0,604a2bdd2694b50a645e9ad1,88,0.8254041852680184,Type1
0,604a2be32694b50a645e9ad2,89,0.8254041852680184,Type2
0,604a2be82694b50a645e9ad3,78,0.8254041852680183,Type3
0,604a2bee2694b50a645e9ad4,84,0.8254041852680183,Type5
0,604a2bf42694b50a645e9ad5,92,0.8254041852680185,Type1
0,604a2bf92694b50a645e9ad6,87,0.8254041852680183,Type1
0,604a2bff2694b50a645e9ad7,30,0.3831186849557287,Type5
0,604a2c052694b50a645e9ad8,92,0.8254041852680183,Type4
0,604a2c0b2694b50a645e9ad9,95,0.8254041852680185,Type4
0,604a2c102694b50a645e9ada,90,0.8254041852680184,Type3
0,604a2c172694b50a645e9adb,85,0.8254041852680184,Type4
0,604a2c1e2694b50a645e9adc,48,0.46415888336127786,Type4
0,604a2c222694b50a645e9add,95,0.8254041852680185,Type5
0,604a2c262694b50a645e9ade,95,0.8254041852680185,Type3
0,604a2c2d2694b50a645e9adf,47,0.46415888336127786,Type1
0,604a2c322694b50a645e9ae0,70,0.6812920690579612,Type1
0,604a2c372694b50a645e9ae1,85,0.8254041852680183,Type1
0,604a2c3b2694b50a645e9ae2,85,0.8254041852680184,Type5
0,604a2c412694b50a645e9ae3,95,0.8254041852680184,Type4
0,604a2c462694b50a645e9ae4,37,0.46415888336127786,Type5
0,604a2c4d2694b50a645e9ae5,90,0.8254041852680183,Type5
0,604a2c522694b50a645e9ae6,50,0.46415888336127786,Type2
0,604a2c592694b50a645e9ae7,85,0.8254041852680183,Type2
0,604a2c602694b50a645e9ae8,90,0.8254041852680184,Type1
0,604a2c642694b50a645e9ae9,95,0.8254041852680184,Type2
0,604a2c6d2694b50a645e9aea,35,0.24349139219186144,Type7
0,604a2c702694b50a645e9aeb,30,0.16409633703727006,Type7
0,604a2c762694b50a645e9aec,30,0.2591190032254133,Type6
0,604a2c7b2694b50a645e9aed,48,0.34543159516191674,Type7
0,604a2c802694b50a645e9aee,26,0.30170654366357447,Type6
